flag_domain,flag_severity,flag_code,dataset,subgroup_kind,subgroup_value,group_id,panel_label,analysis_structure,summary_view,horizon_year,flag_text_value,flag_numeric_value,flag_message
completeness,warning,completeness_masked_no_eligible,PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,6,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,7,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,8,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,9,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,overall,Overall,PNU__overall__Overall,PNU | Overall,single_site,transition_only,10,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_risk_set,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,remission_sensitive,2,masked_no_risk_set,NA,Masked in completeness plot because the risk set is zero at this horizon.
completeness,warning,completeness_masked_no_risk_set,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,remission_sensitive,3,masked_no_risk_set,NA,Masked in completeness plot because the risk set is zero at this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,remission_sensitive,4,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,remission_sensitive,5,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,remission_sensitive,6,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,remission_sensitive,7,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,remission_sensitive,8,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,remission_sensitive,9,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,remission_sensitive,10,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_risk_set,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,2,masked_no_risk_set,NA,Masked in completeness plot because the risk set is zero at this horizon.
completeness,warning,completeness_masked_no_risk_set,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,3,masked_no_risk_set,NA,Masked in completeness plot because the risk set is zero at this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,4,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,5,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,6,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,7,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,8,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,9,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Female,PNU__sex__Female,PNU | Sex = Female,single_site,transition_only,10,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_very_sparse,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,remission_sensitive,2,very_sparse,1,Displayed with caution: very sparse risk set.
completeness,warning,completeness_masked_no_risk_set,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,remission_sensitive,3,masked_no_risk_set,NA,Masked in completeness plot because the risk set is zero at this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,remission_sensitive,4,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,remission_sensitive,5,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,remission_sensitive,6,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,remission_sensitive,7,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,remission_sensitive,8,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,remission_sensitive,9,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_masked_no_eligible,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,remission_sensitive,10,masked_no_eligible,NA,Masked in completeness plot because no eligible subjects remain for this horizon.
completeness,warning,completeness_very_sparse,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,2,very_sparse,1,Displayed with caution: very sparse risk set.
completeness,warning,completeness_masked_no_risk_set,PNU,sex,Male,PNU__sex__Male,PNU | Sex = Male,single_site,transition_only,3,masked_no_risk_set,NA,Masked in completeness plot because the risk set is zero at this horizon.
