dataset,comparison_scope,comparison_family,comparison_id,prediction_level,model_class,model_family,formula_id,formula_name,formula_label,site_branch,interaction_branch,benchmark_core_id,benchmark_label,assignment_variable,sensitivity_method,horizon_id,horizon_year,horizon_days,interpretation_tier,primary_supported_flag,interpretation_note,horizon_support_label,supported_for_reporting,projection_flag,reporting_status,main_model_family,main_variant_id,main_variant_label,main_risk_estimator,sensitivity_model_family,sensitivity_variant_id,sensitivity_variant_label,sensitivity_risk_estimator,n_subjects,mean_main_transition_risk,mean_sensitivity_transition_risk,mean_sensitivity_remission_risk,mean_sensitivity_eventfree_prob,mean_risk_difference_signed,mean_risk_difference_absolute,median_risk_difference_absolute,max_risk_difference_absolute,main_remission_component_available,main_eventfree_component_available,main_component_mode,main_component_note,sensitivity_remission_component_available,sensitivity_eventfree_component_available,sensitivity_component_mode,sensitivity_component_note
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,cause_specific,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,CauseSpecificCox,PNU__base__cause_specific,Cause-specific sensitivity: Base,CauseSpecificCox,54,0.1711033651726387,0.167678894851905,0.077801458928161,0.754519646219934,-0.003424470320733661,0.003424470320733661,0.0026799817328093667,0.017232210902172085,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,cause_specific,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_2,2,730.5,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,TRUE,FALSE,supported,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,CauseSpecificCox,PNU__base__cause_specific,Cause-specific sensitivity: Base,CauseSpecificCox,54,0.3080439666123819,0.2825677929434664,0.4391612543795509,0.2782709526769827,-0.02547617366891554,0.02547617366891554,0.021043258353800776,0.11327460329857075,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,cause_specific,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_3,3,1095.75,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,CauseSpecificCox,PNU__base__cause_specific,Cause-specific sensitivity: Base,CauseSpecificCox,54,0.3080439666123819,0.2825677929434664,0.5970893727655466,0.12034283429098701,-0.02547617366891554,0.02547617366891554,0.021043258353800776,0.11327460329857075,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,cause_specific,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_4,4,1461,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,CauseSpecificCox,PNU__base__cause_specific,Cause-specific sensitivity: Base,CauseSpecificCox,54,0.3080439666123819,0.2825677929434664,0.5970893727655466,0.12034283429098701,-0.02547617366891554,0.02547617366891554,0.021043258353800776,0.11327460329857075,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,cause_specific,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_5,5,1826.25,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,CauseSpecificCox,PNU__base__cause_specific,Cause-specific sensitivity: Base,CauseSpecificCox,54,0.3080439666123819,0.2825677929434664,0.5970893727655466,0.12034283429098701,-0.02547617366891554,0.02547617366891554,0.021043258353800776,0.11327460329857075,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,cause_specific,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_6,6,2191.5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,CauseSpecificCox,PNU__base__cause_specific,Cause-specific sensitivity: Base,CauseSpecificCox,54,0.3080439666123819,0.2825677929434664,0.5970893727655466,0.12034283429098701,-0.02547617366891554,0.02547617366891554,0.021043258353800776,0.11327460329857075,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,cause_specific,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_7,7,2556.75,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,CauseSpecificCox,PNU__base__cause_specific,Cause-specific sensitivity: Base,CauseSpecificCox,54,0.3080439666123819,0.2825677929434664,0.5970893727655466,0.12034283429098701,-0.02547617366891554,0.02547617366891554,0.021043258353800776,0.11327460329857075,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,cause_specific,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_8,8,2922,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,CauseSpecificCox,PNU__base__cause_specific,Cause-specific sensitivity: Base,CauseSpecificCox,54,0.3080439666123819,0.2825677929434664,0.5970893727655466,0.12034283429098701,-0.02547617366891554,0.02547617366891554,0.021043258353800776,0.11327460329857075,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,cause_specific,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_9,9,3287.25,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,CauseSpecificCox,PNU__base__cause_specific,Cause-specific sensitivity: Base,CauseSpecificCox,54,0.3080439666123819,0.2825677929434664,0.5970893727655466,0.12034283429098701,-0.02547617366891554,0.02547617366891554,0.021043258353800776,0.11327460329857075,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__base,individualized,Stage9_cause_specific,cause_specific,PNU__base,base,Base,site_free,no_age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_10,10,3652.5,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__base__cox_main_mirror,Main censoring mirror: Base,CoxPH_main_mirror,CauseSpecificCox,PNU__base__cause_specific,Cause-specific sensitivity: Base,CauseSpecificCox,54,0.3080439666123819,0.2825677929434664,0.5970893727655466,0.12034283429098701,-0.02547617366891554,0.02547617366891554,0.021043258353800776,0.11327460329857075,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__interaction,individualized,Stage9_cause_specific,cause_specific,PNU__interaction,interaction,Interaction,site_free,age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_1,1,365.25,primary-supported,TRUE,Common comparison horizon retained for cross-model comparability.,primary_supported,TRUE,FALSE,supported,CoxPH,PNU__interaction__cox_main_mirror,Main censoring mirror: Interaction,CoxPH_main_mirror,CauseSpecificCox,PNU__interaction__cause_specific,Cause-specific sensitivity: Interaction,CauseSpecificCox,54,0.18289457455792546,0.17922924978686058,0.07954157299734026,0.7412291772157992,-0.0036653247710648523,0.0036653247710648523,0.003785010444599557,0.011668861928072594,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__interaction,individualized,Stage9_cause_specific,cause_specific,PNU__interaction,interaction,Interaction,site_free,age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_2,2,730.5,sensitivity,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,sensitivity,TRUE,FALSE,supported,CoxPH,PNU__interaction__cox_main_mirror,Main censoring mirror: Interaction,CoxPH_main_mirror,CauseSpecificCox,PNU__interaction__cause_specific,Cause-specific sensitivity: Interaction,CauseSpecificCox,54,0.32989879074125605,0.3019119210428384,0.4304307683626041,0.2676573105945575,-0.027986869698417613,0.027986869698417613,0.02901587038295214,0.08444940396323897,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__interaction,individualized,Stage9_cause_specific,cause_specific,PNU__interaction,interaction,Interaction,site_free,age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_3,3,1095.75,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__interaction__cox_main_mirror,Main censoring mirror: Interaction,CoxPH_main_mirror,CauseSpecificCox,PNU__interaction__cause_specific,Cause-specific sensitivity: Interaction,CauseSpecificCox,54,0.32989879074125605,0.3019119210428384,0.5669355997334203,0.1311524792237412,-0.027986869698417613,0.027986869698417613,0.02901587038295214,0.08444940396323897,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__interaction,individualized,Stage9_cause_specific,cause_specific,PNU__interaction,interaction,Interaction,site_free,age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_4,4,1461,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__interaction__cox_main_mirror,Main censoring mirror: Interaction,CoxPH_main_mirror,CauseSpecificCox,PNU__interaction__cause_specific,Cause-specific sensitivity: Interaction,CauseSpecificCox,54,0.32989879074125605,0.3019119210428384,0.5669355997334203,0.1311524792237412,-0.027986869698417613,0.027986869698417613,0.02901587038295214,0.08444940396323897,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
PNU,cause_specific_formula,cause_specific,PNU__interaction,individualized,Stage9_cause_specific,cause_specific,PNU__interaction,interaction,Interaction,site_free,age_sex_interaction,NA,NA,individualized_prediction,cause_specific_cox,year_5,5,1826.25,projection,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,projection,FALSE,TRUE,projection_only,CoxPH,PNU__interaction__cox_main_mirror,Main censoring mirror: Interaction,CoxPH_main_mirror,CauseSpecificCox,PNU__interaction__cause_specific,Cause-specific sensitivity: Interaction,CauseSpecificCox,54,0.32989879074125605,0.3019119210428384,0.5669355997334203,0.1311524792237412,-0.027986869698417613,0.027986869698417613,0.02901587038295214,0.08444940396323897,FALSE,TRUE,transition_plus_eventfree_main_mirror,transition_plus_eventfree_main_mirror,TRUE,TRUE,full_cause_specific_decomposition,transition_remission_eventfree_decomposition_available
