dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,matched_nocure_model_id,horizon_year,threshold,n_subject,positive_classification_rate,weighted_tp,weighted_fn,weighted_fp,weighted_tn,sensitivity,specificity,ppv,false_positive_weighted_per_n,false_positive_burden_non_event,false_positive_burden_primary,false_positive_burden_all,unnecessary_high_risk_per_100_population,unnecessary_high_risk_per_100_non_event,net_benefit,horizon_support,boot_n_success_fp_primary,boot_success_rate_fp_primary,false_positive_burden_primary_ci_lower,false_positive_burden_primary_ci_upper,boot_n_success_fp_weighted,boot_success_rate_fp_weighted,false_positive_weighted_per_n_ci_lower,false_positive_weighted_per_n_ci_upper,boot_n_success_nb,boot_success_rate_nb,net_benefit_ci_lower,net_benefit_ci_upper,false_positive_burden_ci_lower,false_positive_burden_ci_upper,threshold_projection_suppressed_flag,threshold_reporting_status,threshold_suppression_reason,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,8,0.1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,8,0.15,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,8,0.2,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,9,0.05,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,9,0.1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,9,0.15,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,9,0.2,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,10,0.05,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,10,0.1,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,10,0.15,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,NA,10,0.2,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,projection,0,0,NA,NA,984,0.984,NA,NA,984,0.984,NA,NA,NA,NA,TRUE,suppressed_projection,PNU threshold-based metrics suppressed from year 3 onward because they are projection-only and not primary-supported.,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,nocure_coxph,1,0.05,54,1,0.16985825872534027,0,0.83014174127466,0,1,0,0.16985825872534024,0.83014174127466,1,1,0.83014174127466,83.014174127466,100,0.1261665881319371,primary_supported,988,0.988,0.26776018099547516,1,988,0.988,0.23597157912137104,0.8755386087641888,988,0.988,0.03501873370294423,0.2531450886729118,0.26776018099547516,1,FALSE,reported,NA,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
